UTC,Latitude,Longitude,Altitude
044720.00,98.67000600015953,171.35490899943434,14.5
044721.00,98.62553000027182,171.0658149986473,12.7
044722.00,98.4253880002715,170.96574399915278,10.9
044723.00,98.02510400027086,171.07693399836643,9.1
044724.00,97.52474900027005,170.99910099831013,7.4
044725.00,97.30236900032588,171.08805299808554,5.8
044726.00,96.82425200026893,171.29931399881627,4.1
044727.00,96.91320400004433,171.1881239996026,2.9
044728.00,96.94656100021292,171.35490899943434,1.3
044729.00,96.56851500015614,171.76631199915408,-0.2
044730.00,96.72418100026874,171.78854999859234,-1.8
044731.00,96.82425200026893,171.89973999982848,-3.5
044732.00,97.10222700032554,172.11100099853664,-5.1
044733.00,96.66858600015631,172.5224039982564,-6.5
044734.00,96.36837300015581,172.5779989988745,-7.9
044735.00,96.26830200015566,172.70030799982976,-9.2
044736.00,95.97920800037991,172.7892599996052,-10.6
044737.00,95.7123520000424,172.95604499943693,-12.0
044738.00,95.53444799998593,173.17842499988672,-13.3
044739.00,95.50109100032296,173.2340199984823,-14.2
044740.00,95.27871100037878,172.92268799825706,-15.0
044741.00,95.43437699998576,172.9449259997178,-15.7
044742.00,95.50109100032296,172.96716399915604,-16.4
044743.00,95.37878200037893,172.8782119993806,-17.2
044744.00,95.33430599998559,172.92268799825706,-18.1
044745.00,95.22311600026633,173.2117819990441,-19.2
044746.00,95.22311600026633,173.2896149991004,-19.8
044747.00,95.23423499998545,173.12282999926865,-20.8
044748.00,95.45661500043526,173.0783539983697,-21.6
044749.00,95.36766300015418,173.00052099831336,-22.4
044750.00,95.54556700021067,172.73366499898714,-23.2
044751.00,95.17864000037862,172.61135600005437,-23.9
044752.00,95.13416399998528,172.66695099864992,-24.6
044753.00,95.16752100015388,172.92268799825706,-25.3
044754.00,95.07856900037845,173.16730599814508,-26.1
044755.00,95.0340929999851,173.33409099999935,-26.7
044756.00,94.74499900020938,173.65654199994367,-27.3
044757.00,94.87842700037812,173.72325599825837,-28.1
044758.00,94.50038100032135,173.93451699898904,-28.8
044759.00,94.41142900004027,173.92339799926995,-29.2
044800.00,94.75611800043413,173.97899299988802,-29.8
044801.00,94.86730800015339,174.02346899876446,-30.2
044802.00,94.76723700015323,174.1124209985399,-30.6
044803.00,94.96737900015354,173.75661299943823,-31.0
044804.00,94.62269000026535,173.6009469993256,-31.3
044805.00,94.50038100032135,173.41192400005568,-31.6
044806.00,94.21128700003997,173.4675189986512,-32.1
044807.00,94.28912000009628,173.25625799994305,-32.4
044808.00,94.13345399998366,173.20066299932495,-32.6
044809.00,94.25576300043332,173.156186998426,-32.7
044810.00,94.22240600026471,173.25625799994305,-33.1
044811.00,94.38919100009643,173.26737699966216,-33.3
044812.00,94.23352499998381,173.40080499831402,-33.4
044813.00,94.46702400015275,173.53423299898841,-33.4
044814.00,94.31135800004012,173.5453519987075,-33.3
044815.00,94.78947500009707,173.47863799837032,-33.4
044816.00,95.022974000266,173.12282999926865,-33.5
044817.00,94.55597600043379,173.40080499831402,-33.7
044818.00,94.81171300004092,172.98940199859425,-33.6
044819.00,94.37807200037732,172.74478399870625,-33.7
044820.00,93.95555000043282,172.5668799991554,-33.6
044821.00,92.94372100020645,172.433451998481,-33.5
044822.00,91.6539170004291,171.66624099965955,-33.6
044823.00,90.13061399997719,170.77672099988283,-34.2
044824.00,89.05207100042489,170.065104999657,-32.8
044825.00,88.12919399997395,169.0643949986441,-31.4
044826.00,86.650367000421,168.5529209994298,-30.0
044827.00,85.24937300041874,168.25270799892368,-28.8
044828.00,84.17083000036082,166.8072379990337,-27.5
044829.00,83.24795300041552,166.37359699987576,-26.1
044830.00,82.49186100030192,166.31800199925763,-25.5
044831.00,81.60234100001958,166.08450299908873,-25.0
044832.00,80.2680610003545,165.41736299976185,-24.1
044833.00,78.95601900012767,163.99413099931007,-23.3
044834.00,77.26593100034965,162.97118299885895,-22.4
044835.00,76.24298300040418,162.11501999823957,-21.8
044836.00,74.78639400028946,161.95935399812697,-20.8
044837.00,74.17484900006374,161.55906999812632,-20.5
044838.00,72.71826000045468,161.50347499953077,-20.0
044839.00,71.88433500028478,161.0253579994738,-19.7
044840.00,70.97257700005858,160.41381299874246,-19.1
044841.00,69.01563300044867,160.34709899840527,-18.7
044842.00,66.93638000038912,159.55764999812308,-18.3
044843.00,64.92384100016116,159.2796749990777,-18.0
044844.00,63.06696800004578,158.81267699873987,-17.5
044845.00,61.41023700043638,158.83491499817808,-17.0
044846.00,59.497769000208564,158.51246399823376,-16.4
044847.00,57.50746800043007,158.25672699862662,-15.8
044848.00,55.383738999977176,157.46727799834443,-15.3
044849.00,53.282247999973784,156.86685199935474,-14.8
044850.00,51.4031370004202,156.62223399946672,-14.7
044851.00,49.646335000305,156.6111149997476,-14.2
044852.00,48.278697999965694,156.07740299907255,-13.9
044853.00,47.28910700018883,156.51104399823052,-13.3
044854.00,46.07713600046777,156.02180799845445,-13.0
044855.00,45.07642600046615,155.78830899828554,-12.8
044856.00,44.26473900024011,155.72159499997088,-12.6
044857.00,44.15354900001521,155.79942800002715,-12.6
044858.00,43.7310270000707,155.6548809996337,-12.8
044859.00,42.50793700012491,156.5555199991295,-12.3
044900.00,41.36268000023542,156.81125699873667,-12.0
044901.00,41.52946500006715,156.77789999957932,-11.5
044902.00,40.45092200000922,157.24489799991716,-11.3
044903.00,39.41685500034464,157.15594599811922,-11.2
044904.00,38.405026000118276,156.4332109981742,-10.9
044905.00,37.68229100017329,156.01068899873536,-10.4
044906.00,37.42655400006051,155.9662129998589,-9.9
044907.00,37.05962700022847,155.5325719986784,-9.7
044908.00,36.55927200022766,155.13228799867773,-9.0
044909.00,36.537034000283796,155.17676399957674,-8.4
044910.00,36.60374800011537,156.13299799969064,-7.7
044911.00,36.60374800011537,156.29978299952236,-6.9
044912.00,36.303535000114884,156.2775449980616,-6.1
044913.00,36.33689200028348,156.68894799980387,-5.0
044914.00,35.747585000001614,157.04475599890554,-4.2
044915.00,36.33689200028348,157.62294399845706,-3.2
044916.00,35.83653700028266,157.74525299941234,-2.4
044917.00,35.925489000058086,158.83491499817808,-1.6
044918.00,35.02485000005663,159.31303199823503,-1.1
044919.00,34.746875,158.39015499930102,-0.4
044920.00,34.20204400011148,158.6014160000317,0.1
044921.00,33.36811900044722,159.32415099997672,0.1
044922.00,33.29028600039092,158.9905809982907,0.1
044923.00,33.35700000022247,158.72372499896449,0.2
044924.00,34.13533000027992,158.64589199890816,0.3
044925.00,34.124211000055176,158.96834299885248,0.6
044926.00,33.92406900005484,158.80155799902076,0.8
044927.00,33.634975000279105,158.50134499851464,1.1
044928.00,33.5904990003914,158.05658499963758,1.5
044929.00,33.712808000335414,157.44503999890622,1.9
044930.00,34.580090000168276,158.07882299907578,2.6
044931.00,35.09156400039383,158.63477299918904,3.4
